날짜,종가
2015- 07- 21,"8,065"
2015- 07- 22,"8,150"
2015- 07- 23,"8,145"
2015- 07- 24,"8,245"
2015- 07- 26,"8,245"
2015- 07- 27,"8,225"
2015- 07- 28,"8,215"
2015- 07- 29,"8,185"
2015- 07- 30,"8,260"
2015- 07- 31,"8,285"
2015- 08- 02,"8,285"
2015- 08- 03,"8,335"
2015- 08- 04,"8,290"
2015- 08- 05,"8,290"
2015- 08- 06,"8,385"
2015- 08- 07,"8,400"
2015- 08- 10,"8,420"
2015- 08- 11,"8,465"
2015- 08- 12,"8,520"
2015- 08- 13,"8,470"
2015- 08- 16,"8,470"
2015- 08- 17,"8,545"
2015- 08- 18,"8,555"
2015- 08- 19,"8,625"
2015- 08- 20,"8,725"
2015- 08- 21,"8,865"
2015- 08- 23,"8,865"
2015- 08- 24,"9,095"
2015- 08- 25,"9,050"
2015- 08- 26,"8,860"
2015- 08- 27,"8,830"
2015- 08- 28,"8,705"
2015- 08- 30,"8,705"
2015- 08- 31,"8,725"
2015- 09- 01,"8,865"
2015- 09- 02,"8,795"
2015- 09- 03,"8,775"
2015- 09- 04,"8,870"
2015- 09- 07,"8,870"
2015- 09- 08,"8,835"
2015- 09- 09,"8,570"
2015- 09- 10,"8,545"
2015- 09- 11,"8,620"
2015- 09- 13,"8,620"
2015- 09- 14,"8,665"
2015- 09- 15,"8,640"
2015- 09- 16,"8,440"
2015- 09- 17,"8,415"
2015- 09- 18,"8,355"
2015- 09- 21,"8,500"
2015- 09- 22,"8,450"
2015- 09- 23,"8,580"
2015- 09- 24,"8,580"
2015- 09- 25,"8,580"
2015- 09- 29,"8,580"
2015- 09- 30,"8,520"
2015- 10- 01,"8,425"
2015- 10- 02,"8,475"
2015- 10- 05,"8,470"
2015- 10- 06,"8,390"
2015- 10- 07,"8,280"
2015- 10- 08,"8,215"
2015- 10- 11,"8,215"
2015- 10- 12,"8,150"
2015- 10- 13,"8,170"
2015- 10- 14,"8,210"
2015- 10- 15,"8,100"
2015- 10- 16,"8,115"
2015- 10- 18,"8,115"
2015- 10- 19,"8,130"
2015- 10- 20,"8,100"
2015- 10- 21,"8,070"
2015- 10- 22,"8,120"
2015- 10- 23,"8,055"
2015- 10- 26,"8,030"
2015- 10- 27,"8,040"
2015- 10- 28,"8,045"
2015- 10- 29,"8,060"
2015- 10- 30,"8,035"
2015- 11- 01,"8,035"
2015- 11- 02,"8,045"
2015- 11- 03,"7,965"
2015- 11- 04,"7,965"
2015- 11- 05,"7,970"
2015- 11- 06,"8,030"
2015- 11- 09,"8,065"
2015- 11- 10,"8,180"
2015- 11- 11,"8,185"
2015- 11- 12,"8,185"
2015- 11- 13,"8,285"
2015- 11- 16,"8,395"
2015- 11- 17,"8,310"
2015- 11- 18,"8,340"
2015- 11- 19,"8,215"
2015- 11- 20,"8,210"
2015- 11- 22,"8,210"
2015- 11- 23,"8,160"
2015- 11- 24,"8,135"
2015- 11- 25,"8,140"
2015- 11- 26,"8,040"
2015- 11- 27,"8,055"
2015- 11- 30,"8,215"
2015- 12- 01,"8,085"
2015- 12- 02,"8,135"
2015- 12- 03,"8,210"
2015- 12- 04,"8,295"
2015- 12- 06,"8,295"
2015- 12- 07,"8,335"
2015- 12- 08,"8,370"
2015- 12- 09,"8,365"
2015- 12- 10,"8,320"
2015- 12- 11,"8,345"
2015- 12- 13,"8,345"
2015- 12- 14,"8,405"
2015- 12- 15,"8,385"
2015- 12- 16,"8,215"
2015- 12- 17,"8,225"
2015- 12- 18,"8,230"
2015- 12- 20,"8,230"
2015- 12- 21,"8,210"
2015- 12- 22,"8,190"
2015- 12- 23,"8,125"
2015- 12- 24,"8,160"
2015- 12- 27,"8,160"
2015- 12- 28,"8,270"
2015- 12- 29,"8,210"
2015- 12- 30,"8,240"
2016- 01- 04,"8,440"
2016- 01- 05,"8,395"
2016- 01- 06,"8,440"
2016- 01- 07,"8,535"
2016- 01- 08,"8,465"
2016- 01- 10,"8,465"
2016- 01- 11,"8,560"
2016- 01- 12,"8,595"
2016- 01- 13,"8,470"
2016- 01- 14,"8,555"
2016- 01- 15,"8,650"
2016- 01- 18,"8,655"
2016- 01- 19,"8,610"
2016- 01- 20,"8,810"
2016- 01- 21,"8,820"
2016- 01- 22,"8,615"
2016- 01- 24,"8,615"
2016- 01- 25,"8,585"
2016- 01- 26,"8,690"
2016- 01- 27,"8,585"
2016- 01- 28,"8,560"
2016- 01- 29,"8,535"
2016- 01- 31,"8,535"
2016- 02- 01,"8,495"
2016- 02- 02,"8,540"
2016- 02- 03,"8,645"
2016- 02- 04,"8,480"
2016- 02- 05,"8,460"
2016- 02- 11,"8,690"
2016- 02- 12,"8,765"
2016- 02- 14,"8,765"
2016- 02- 15,"8,645"
2016- 02- 16,"8,520"
2016- 02- 17,"8,515"
2016- 02- 18,"8,435"
2016- 02- 19,"8,425"
2016- 02- 21,"8,425"
2016- 02- 22,"8,400"
2016- 02- 23,"8,410"
2016- 02- 24,"8,410"
2016- 02- 25,"8,400"
2016- 02- 26,"8,395"
2016- 02- 28,"8,395"
2016- 02- 29,"8,410"
2016- 03- 01,"8,410"
2016- 03- 02,"8,275"
2016- 03- 03,"8,260"
2016- 03- 04,"8,250"
