Unnamed: 0,Return,ETF_Ratio,Cash_Ratio,Fees,Cumulative
2018-11-29,-6.992497433267798e-05,0.3,0.0,0.0,1.3498005608221613
2018-11-30,-0.0049109623496292,0.3,0.0,0.0,1.3431717410884552
2018-12-03,-0.004722540702904,0.3,0.0,0.0001793830499119,1.3368285578701744
2018-12-04,-0.0016196463648588,0.3,0.0,0.0,1.3346633683559803
2018-12-05,0.0037900262085671,0.3,0.0,0.0,1.339721777501664
2018-12-06,-0.0020898602342303,0.3,0.0,0.0,1.3369219462339308
2018-12-07,-0.0027878520259088,0.3,0.0,0.0,1.3331948056776404
2018-12-10,0.0020139858792276,0.3,0.0,0.0,1.3358798411905348
2018-12-11,0.0007558666221365,0.3,0.0,0.0,1.3368895881736758
2018-12-12,0.0027719817611855,0.3,0.0,0.0,1.340595421728812
2018-12-13,0.0047225087767965,0.3,0.0,0.0,1.3469263953740598
2018-12-14,-0.0045236472173451,0.3,0.0,0.0,1.3408333755336572
2018-12-17,-0.0019415010645365,0.3,0.0,0.0,1.3382301461076926
2018-12-18,-0.0013462180007261,0.3,0.0,0.0,1.3364285965958882
2018-12-19,0.0060511723779882,0.3,0.0,0.0,1.3445155564047626
2018-12-20,-0.0032492959040041,0.3,0.0,0.0,1.3401468275144668
2018-12-21,-0.0016560600551677,0.3,0.0,0.0,1.3379274638853604
2018-12-24,-0.0001754210007024,0.3,0.0,0.0,1.3376927633107785
2018-12-26,-0.0052841916348314,0.3,0.0,0.0,1.3306241384009172
2018-12-27,0.0112471857033277,0.3,0.0,0.0,1.345589915186843
2018-12-28,-0.0006678914766183,0.3,0.0,0.0,1.3446912071514656
2019-01-02,8.04986646671615e-05,0.3,0.0,0.0001248803056285,1.344799452998031
2019-01-03,0.0068926135892069,0.3,0.0,0.0,1.3540686359825231
2019-01-04,0.0041541897937646,0.3,0.0,0.0,1.3596936940901787
2019-01-07,-0.0039526024585224,0.3,0.0,0.0,1.3543193654520804
2019-01-08,0.002091029005761,0.3,0.0,0.0,1.3571512865283044
2019-01-09,-0.0073279063185243,0.3,0.0,0.0,1.34720620904056
2019-01-10,0.0010903838022544,0.3,0.0,0.0,1.3486751808691946
2019-01-11,-0.0044533505733008,0.3,0.0,0.0,1.342669057479274
2019-01-14,0.0026035467362276,0.3,0.0,0.0,1.346164759121708
2019-01-15,0.001294113276708,0.3,0.0,0.0,1.347906848809124
2019-01-16,-0.0002109051261402,0.3,0.0,0.0,1.3476225683451508
2019-01-17,0.0007771589608138,0.3,0.0,0.0,1.3486698852999353
2019-01-18,0.001120929805142,0.3,0.0,0.0,1.3501816495716654
2019-01-21,-0.0053018422184864,0.3,0.0,0.0,1.343023199499341
2019-01-22,0.0019879874154695,0.3,0.0,0.0,1.3456931127186291
2019-01-23,0.0038158567445029,0.3,0.0,0.0,1.3508280848588277
2019-01-24,-0.000347279760664,0.3,0.0,0.0,1.3503589696048195
2019-01-25,-0.005324440765853,0.3,0.0,0.0,1.3431690632585205
