date,stock1,stock2,stock3,stock4,stock5,stock6,stock7,stock8,stock9,stock10,stock11,stock12,stock13,stock14,stock15,stock16,stock17,stock18,stock19,stock20,stock21,stock22,stock23,stock24,stock25,stock26,stock27,stock28,stock29,stock30,stock31,stock32,stock33,stock34,stock35,stock36,stock37,stock38,stock39,stock40,stock41,stock42,stock43,stock44,stock45,stock46,stock47,stock48,stock49,stock50
2016-01-04,5930.0,15760.0,5380.0,28260.0,90430.0,12330.0,51910.0,660.0,32830.0,35420.0,270.0,18260.0,55550.0,17670.0,34730.0,51900.0,810.0,33780.0,5490.0,105560.0,3550.0,2790.0,96770.0,10950.0,10130.0,66570.0,34220.0,11170.0,35250.0,6400.0,30200.0,23530.0,86280.0,1800.0,86790.0,24110,9540.0,4020.0,21240.0,88350.0,30.0,161390.0,139480.0,9150.0,36570.0,2380.0,29780.0,720.0,10140.0,42660.0
2016-07-01,5930.0,15760.0,5380.0,90430.0,12330.0,35420.0,660.0,28260.0,32830.0,33780.0,55550.0,51900.0,17670.0,5490.0,270.0,51910.0,34730.0,2790.0,96770.0,105560.0,810.0,3550.0,18260.0,10130.0,11170.0,34220.0,8930.0,66570.0,35250.0,10950.0,21240.0,9540.0,30200.0,6400.0,47810.0,86790,30.0,86280.0,23530.0,24110.0,161390.0,4020.0,1040.0,1800.0,36570.0,88350.0,139480.0,29780.0,2380.0,9150.0
2017-01-02,5930.0,660.0,5380.0,15760.0,12330.0,35420.0,28260.0,5490.0,32830.0,55550.0,17670.0,90430.0,105560.0,51910.0,34730.0,270.0,33780.0,96770.0,11170.0,51900.0,810.0,9540.0,34220.0,18260.0,3550.0,2790.0,10950.0,86790.0,10130.0,30.0,66570.0,4020.0,30200.0,35250.0,6400.0,161390,24110.0,23530.0,47810.0,21240.0,86280.0,88350.0,36570.0,1040.0,139480.0,29780.0,2380.0,1800.0,9150.0,8930.0
2017-07-03,5930.0,660.0,5380.0,35420.0,28260.0,15760.0,5490.0,12330.0,105560.0,55550.0,32830.0,17670.0,51910.0,34730.0,207940.0,90430.0,33780.0,270.0,51900.0,96770.0,18260.0,86790.0,3550.0,810.0,66570.0,34220.0,251270.0,30.0,11170.0,6400.0,2790.0,10950.0,9540.0,23530.0,30200.0,10130,4020.0,36570.0,161390.0,24110.0,21240.0,35250.0,139480.0,88350.0,86280.0,1040.0,47810.0,8930.0,1800.0,29780.0
2018-01-02,5930.0,660.0,5380.0,5490.0,35420.0,51910.0,105560.0,207940.0,12330.0,32830.0,15760.0,28260.0,55550.0,17670.0,34730.0,96770.0,51900.0,90430.0,66570.0,251270.0,33780.0,3550.0,18260.0,86790.0,6400.0,270.0,10950.0,810.0,11170.0,2790.0,30.0,34220.0,35720.0,36570.0,10130.0,24110,30200.0,4020.0,21240.0,139480.0,8930.0,161390.0,35250.0,9540.0,88350.0,23530.0,86280.0,1040.0,47810.0,29780.0
2018-07-02,5930.0,660.0,68270.0,207940.0,5490.0,5380.0,35420.0,51910.0,105560.0,51900.0,28260.0,15760.0,55550.0,12330.0,32830.0,17670.0,90430.0,34730.0,96770.0,18260.0,6400.0,33780.0,66570.0,86790.0,251270.0,270.0,810.0,3550.0,10950.0,11170.0,30.0,2790.0,24110.0,35720.0,36570.0,10130,30200.0,9540.0,139480.0,4020.0,34220.0,21240.0,23530.0,35250.0,161390.0,88350.0,86280.0,1040.0,8930.0,47810.0
2019-01-02,5930.0,660.0,68270.0,207940.0,5380.0,51910.0,17670.0,15760.0,5490.0,28260.0,35420.0,105560.0,55550.0,12330.0,34730.0,51900.0,32830.0,18260.0,96770.0,6400.0,33780.0,270.0,810.0,3550.0,90430.0,86790.0,30.0,10950.0,36570.0,66570.0,11170.0,251270.0,9540.0,35720.0,10130.0,30200,24110.0,35250.0,34220.0,4020.0,23530.0,2790.0,21240.0,139480.0,161390.0,8930.0,86280.0,88350.0,1040.0,47810.0
2019-07-01,5930.0,660.0,5380.0,68270.0,51910.0,12330.0,5490.0,55550.0,207940.0,17670.0,51900.0,105560.0,35420.0,28260.0,270.0,32830.0,18260.0,6400.0,34730.0,15760.0,96770.0,33780.0,3550.0,810.0,66570.0,86790.0,35720.0,36570.0,90430.0,316140.0,10950.0,11170.0,10130.0,251270.0,9540.0,24110,9150.0,30200.0,35250.0,32640.0,34220.0,720.0,86280.0,21240.0,4020.0,2790.0,23530.0,8930.0,161390.0,139480.0
2020-01-02,5930.0,660.0,35420.0,207940.0,5380.0,12330.0,68270.0,51910.0,5490.0,28260.0,55550.0,51900.0,105560.0,17670.0,15760.0,34730.0,270.0,6400.0,18260.0,32830.0,96770.0,35720.0,33780.0,3550.0,90430.0,36570.0,66570.0,810.0,86790.0,10950.0,9150.0,9540.0,316140.0,10130.0,251270.0,11170,30200.0,2790.0,24110.0,21240.0,35250.0,32640.0,34220.0,86280.0,720.0,4020.0,161390.0,23530.0,139480.0,8930.0
2020-07-01,5930.0,660.0,207940.0,35420.0,68270.0,51910.0,6400.0,35720.0,28260.0,5380.0,34730.0,51900.0,36570.0,12330.0,17670.0,5490.0,105560.0,55550.0,18260.0,270.0,15760.0,3550.0,96770.0,33780.0,66570.0,9150.0,90430.0,32830.0,810.0,251270.0,86790.0,10950.0,10130.0,316140.0,9540.0,30200,11170.0,21240.0,24110.0,32640.0,35250.0,34220.0,2790.0,86280.0,720.0,161390.0,139480.0,4020.0,23530.0,8930.0
